"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"195","C47 vs C16",1,1.35593823238775,11.9336496248133,0.39867005107593,0.001,0.0010709939148073,"*"
"196","C47 vs C33",1,0.933364211589509,6.73867382492349,0.272394303454313,0.001,0.0010709939148073,"*"
"197","C47 vs C36",1,0.820905027556515,7.0241988571269,0.28069625314404,0.001,0.0010709939148073,"*"
"198","C47 vs C56",1,1.04783506345539,7.86323231611331,0.304031306682976,0.001,0.0010709939148073,"*"
"199","C47 vs C87",1,0.808355994447616,5.36785025456052,0.22971091461496,0.001,0.0010709939148073,"*"
"200","C47 vs C88",1,0.862719916492253,6.96132427955121,0.278884413406466,0.001,0.0010709939148073,"*"
"201","C47 vs C89",1,1.12925911681692,9.86781491110077,0.354093600182842,0.001,0.0010709939148073,"*"
"202","C47 vs C90",1,1.05936844471977,8.73980809967702,0.32684632840662,0.001,0.0010709939148073,"*"
"203","C47 vs C91",1,1.19763086016577,10.3766503387972,0.365675659914306,0.001,0.0010709939148073,"*"
"204","C52 vs C55",1,1.08950874486684,8.91383740836445,0.331199050997988,0.001,0.0010709939148073,"*"
"205","C52 vs C58",1,0.969289423547218,6.89517929142571,0.276968452836189,0.001,0.0010709939148073,"*"
"206","C52 vs C8",1,1.60131295735382,13.8083513826721,0.434110879138312,0.001,0.0010709939148073,"*"
"207","C52 vs C13",1,0.621616375125129,4.36271860196661,0.195088919179216,0.001,0.0010709939148073,"*"
"208","C52 vs C17",1,1.34027155803472,11.3677274131662,0.387082297967318,0.001,0.0010709939148073,"*"
"209","C52 vs C18",1,0.554723007479748,3.25878852709005,0.153291356322463,0.001,0.0010709939148073,"*"
"210","C52 vs C28",1,1.49945852889068,13.5440912864375,0.429370152509698,0.001,0.0010709939148073,"*"
"211","C52 vs C59",1,1.25485288951526,10.5872631854824,0.370348959842332,0.001,0.0010709939148073,"*"
"212","C52 vs C65",1,1.22623384881943,8.85195111068828,0.342409401626499,0.001,0.0010709939148073,"*"
"213","C52 vs C67",1,1.68968731171896,16.8378203709047,0.483320144361472,0.001,0.0010709939148073,"*"
"214","C52 vs C70",1,0.946303156685193,7.14378298231127,0.284117270155288,0.001,0.0010709939148073,"*"
"215","C52 vs C72",1,1.64329872187468,14.441181357428,0.445149675602717,0.001,0.0010709939148073,"*"
"216","C52 vs C73",1,1.46919194693847,13.0230157015123,0.419785614229549,0.001,0.0010709939148073,"*"
"217","C52 vs C74",1,1.08212038204384,8.09239637283698,0.310143854063992,0.001,0.0010709939148073,"*"
"218","C52 vs C86",1,0.51139079195987,3.69511756044072,0.187615917960433,0.001,0.0010709939148073,"*"
