Domain,Phylum,Class,Order,Family,Genus,Species,best_hit
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 79: 22ec6847eb3090f73b4efb9521c305ec:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 80: 5e9b4e0b6f3cd2e93eecf445908345bc:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 81: fc0fe0a23ee6bdcb4221559d5ab5cb7f:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 82: e40a2f61d66f4de398c53363947eff74:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 83: a3c7382cde56df1cf95070b906ba2751:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 84: b687fbb7fa237d2af012312018aead81:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 85: cffadbd8dd1c98113cd5829a03b7b761:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 86: 1b52505c02b13b58ded64c2eeafcc52d:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 87: 3d0dc986f87dbd41d9a16f0a3e43da93:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 88: 9392313f4729cff124f1ab455623f1c4:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 89: 721f62a3910abffaac7d8c726ed80575:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 90: edf9e1c164bd9cb4a1d5a77242944ddf:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 91: 1b4449d3f1cb6bb9536a74ba661e1a05:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 92: 30801a8b703a1ff78ab9f4809fec70f3:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 93: d586215d09fc81bd325b3a37400593a8:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 94: 0f9c51a14673b18233a1bff4bbcbb19d:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 95: 86299b10273c12fc0d81b8dae3b52dfe:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 96: 459c0feff4a232fae4203dfc7699eed8:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 97: e0065891617bc18bae90329eae413d06:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter_sp.,ASV 98: 48df4ff43bac7e39e689c9cf4fa85685:Hymenobacter_sp.
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 99: 0cd08ea24e150027135ad1837a2dce9d:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 100: 350933b60143ebe13127bd4ba568aff0:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,g__Adhaeribacter,ASV 101: 065291f046aa4bd9f64395392dbbbf74:g__Adhaeribacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,g__Adhaeribacter,ASV 102: 3301b6733fd6613ac2a35414c18fb1ce:g__Adhaeribacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,g__Adhaeribacter,ASV 103: 49850a6de6952557a35ee472f7e0a05f:g__Adhaeribacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,g__Adhaeribacter,ASV 104: f2a2410a31cf8fdc6ea70c84d6d79e76:g__Adhaeribacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,g__Adhaeribacter,ASV 105: 2e6ec71f1bb2ddb5553c370e9f7f36db:g__Adhaeribacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,g__Ohtaekwangia,ASV 106: c4dfd76648a88cd8b7e29078f83742b3:g__Ohtaekwangia
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,f__Microscillaceae,f__Microscillaceae,ASV 107: a4a95109ca3f1571173044ebd784f325:f__Microscillaceae
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,f__Microscillaceae,f__Microscillaceae,ASV 108: da341e2044debaee5173f90bfdcfb0c6:f__Microscillaceae
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,f__Microscillaceae,f__Microscillaceae,ASV 109: 7f58cc587c4537ca3db08734c4de684e:f__Microscillaceae
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,f__Microscillaceae,f__Microscillaceae,ASV 110: 7607a406876798227661da955ec2a351:f__Microscillaceae
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,f__Microscillaceae,f__Microscillaceae,ASV 111: e357b09ecea69e4fa0f929ddad63af3b:f__Microscillaceae
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea,g__Chryseolinea,ASV 112: 4fc268a5b953a918d3d592b58612b022:g__Chryseolinea
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,f__Microscillaceae,f__Microscillaceae,ASV 113: e30550ae78681c2fa323ae2fee50ea26:f__Microscillaceae
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,f__Microscillaceae,f__Microscillaceae,ASV 114: 02c659bc015873c92da409f8dcfd4b5c:f__Microscillaceae
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,f__Microscillaceae,f__Microscillaceae,ASV 115: 6e78ded83c28db72f4b204817ee1b75e:f__Microscillaceae
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,g__Rhodocytophaga,ASV 116: 6e46cd1cfa4c696ae505d424eca7257e:g__Rhodocytophaga
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Flectobacillus,g__Flectobacillus,ASV 117: 17527167241384fbfc5364965f5454ef:g__Flectobacillus
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,g__Cytophaga,ASV 118: 26f3b1a4df85af88aa5e9a686d264a40:g__Cytophaga
